asset_id,source,alias
OT-00001,CMDB,COLLIDE-00
OT-00001,PASSIVE,PLT-01-PLC-532
OT-00001,CMMS,ASSET-200001
OT-00002,CMDB,COLLIDE-01
OT-00002,PASSIVE,PLT-01-GATEWAY-112
OT-00002,CMMS,ASSET-200002
OT-00003,CMDB,COLLIDE-02
OT-00003,PASSIVE,PLT-01-OPC_SERVER-634
OT-00003,CMMS,ASSET-200003
OT-00004,CMDB,COLLIDE-03
OT-00004,PASSIVE,PLT-01-ENG_WORKSTATION-579
OT-00004,CMMS,ASSET-200004
OT-00005,CMDB,COLLIDE-04
OT-00005,PASSIVE,PLT-01-IED-846
OT-00005,CMMS,ASSET-200005
OT-00006,CMDB,COLLIDE-05
OT-00006,PASSIVE,PLT-01-RTU-732
OT-00006,CMMS,ASSET-200006
OT-00007,CMDB,COLLIDE-06
OT-00007,PASSIVE,PLT-01-DCS_CONTROLLER-929
OT-00007,CMMS,ASSET-200007
OT-00008,CMDB,COLLIDE-07
OT-00008,PASSIVE,PLT-01-OPC_SERVER-272
OT-00008,CMMS,ASSET-200008
OT-00009,CMDB,COLLIDE-08
OT-00009,PASSIVE,PLT-01-VFD-460
OT-00009,CMMS,ASSET-200009
OT-00010,CMDB,COLLIDE-09
OT-00010,PASSIVE,PLT-01-NETWORK_SWITCH-244
OT-00010,CMMS,ASSET-200010
OT-00011,CMDB,CMDB-100011
OT-00011,PASSIVE,PLT-01-IED-148
OT-00011,CMMS,ASSET-200011
OT-00012,CMDB,CMDB-100012
OT-00012,PASSIVE,PLT-01-DCS_CONTROLLER-105
OT-00012,CMMS,ASSET-200012
OT-00013,CMDB,CMDB-100013
OT-00013,PASSIVE,PLT-01-ENG_WORKSTATION-244
OT-00013,CMMS,ASSET-200013
OT-00014,CMDB,CMDB-100014
OT-00014,PASSIVE,PLT-01-DCS_CONTROLLER-037
OT-00014,CMMS,ASSET-200014
OT-00015,CMDB,CMDB-100015
OT-00015,PASSIVE,PLT-01-SENSOR-607
OT-00015,CMMS,ASSET-200015
OT-00016,CMDB,CMDB-100016
OT-00016,PASSIVE,PLT-01-OPC_SERVER-069
OT-00016,CMMS,ASSET-200016
OT-00017,CMDB,CMDB-100017
OT-00017,PASSIVE,PLT-01-HMI-614
OT-00017,CMMS,ASSET-200017
OT-00018,CMDB,CMDB-100018
OT-00018,PASSIVE,PLT-01-NETWORK_SWITCH-502
OT-00018,CMMS,ASSET-200018
OT-00019,CMDB,CMDB-100019
OT-00019,PASSIVE,PLT-01-ENG_WORKSTATION-780
OT-00019,CMMS,ASSET-200019
OT-00020,CMDB,CMDB-100020
OT-00020,PASSIVE,PLT-01-DCS_CONTROLLER-844
OT-00020,CMMS,ASSET-200020
OT-00021,CMDB,CMDB-100021
OT-00021,PASSIVE,PLT-01-DCS_CONTROLLER-207
OT-00021,CMMS,ASSET-200021
OT-00022,CMDB,CMDB-100022
OT-00022,PASSIVE,PLT-01-PLC-595
OT-00022,CMMS,ASSET-200022
OT-00023,CMDB,CMDB-100023
OT-00023,PASSIVE,PLT-01-OPC_SERVER-294
OT-00023,CMMS,ASSET-200023
