asset_id,plant_id,asset_type,vendor,model,firmware,ip_address,zone,protocol,registered_state,observed_state,criticality,owner,backup_age_days
OT-00001,PLT-01,PLC,RemoteAssist,MDL-79,5.3.3,10.1.15.189,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,CRITICAL,Maintenance,30
OT-00002,PLT-01,GATEWAY,FieldLink,MDL-16,9.8.8,10.1.12.54,L1_CONTROL,DNP3,ACTIVE,ONLINE,MEDIUM,Maintenance,101
OT-00003,PLT-01,OPC_SERVER,SafeLogic,MDL-27,4.9.9,10.1.12.159,L2_SUPERVISORY,VendorSerial,ACTIVE,ONLINE,HIGH,Engineering,377
OT-00004,PLT-01,ENG_WORKSTATION,FieldLink,MDL-64,5.2.4,10.1.2.24,L3_SITE_OPS,PROFINET,ACTIVE,ONLINE,CRITICAL,Unknown,83
OT-00005,PLT-01,IED,HistorianX,MDL-48,4.7.2,10.1.12.72,DMZ,PROFINET,ACTIVE,ONLINE,HIGH,Operations,340
OT-00006,PLT-01,RTU,ControlWorks,MDL-64,5.1.0,10.1.5.211,L1_CONTROL,PROFIBUS,ACTIVE,ONLINE,LOW,Operations,65
OT-00007,PLT-01,DCS_CONTROLLER,FieldLink,MDL-93,7.7.6,10.1.17.65,L1_CONTROL,DNP3,ACTIVE,ONLINE,HIGH,OT Security,27
OT-00008,PLT-01,OPC_SERVER,RemoteAssist,MDL-57,2.9.6,10.1.10.106,DMZ,DNP3,ACTIVE,ONLINE,MEDIUM,Operations,64
OT-00009,PLT-01,VFD,NetSwitchCo,MDL-84,6.9.3,10.1.19.99,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,CRITICAL,Unknown,219
OT-00010,PLT-01,NETWORK_SWITCH,SafeLogic,MDL-15,1.2.8,10.1.14.216,L2_SUPERVISORY,ModbusTCP,ACTIVE,ONLINE,LOW,Unknown,337
OT-00011,PLT-01,IED,HistorianX,MDL-45,7.7.4,10.1.10.104,DMZ,PROFINET,ACTIVE,ONLINE,MEDIUM,Maintenance,259
OT-00012,PLT-01,DCS_CONTROLLER,LegacyPLC,MDL-52,1.1.4,10.1.14.3,L0_FIELD,VendorSerial,ACTIVE,ONLINE,CRITICAL,Vendor,247
OT-00013,PLT-01,ENG_WORKSTATION,ControlWorks,MDL-52,7.6.3,10.1.8.202,L2_SUPERVISORY,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Operations,220
OT-00014,PLT-01,DCS_CONTROLLER,MotorDriveCo,MDL-49,5.4.3,10.1.13.217,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,OT Security,142
OT-00015,PLT-01,SENSOR,FieldLink,MDL-74,8.8.6,10.1.10.224,L1_CONTROL,OPC_UA,ACTIVE,ONLINE,CRITICAL,Operations,56
OT-00016,PLT-01,OPC_SERVER,NetSwitchCo,MDL-77,1.4.8,10.1.13.110,DMZ,EtherNetIP,UNKNOWN,ONLINE,MEDIUM,OT Security,50
OT-00017,PLT-01,HMI,NetSwitchCo,MDL-29,7.1.8,10.1.15.123,L0_FIELD,OPC_UA,ACTIVE,ONLINE,HIGH,Unknown,244
OT-00018,PLT-01,NETWORK_SWITCH,LegacyPLC,MDL-43,6.4.4,10.1.15.89,DMZ,IEC104,ACTIVE,ONLINE,CRITICAL,Operations,20
OT-00019,PLT-01,ENG_WORKSTATION,ControlWorks,MDL-12,1.5.7,10.1.19.61,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,CRITICAL,Operations,45
OT-00020,PLT-01,DCS_CONTROLLER,LegacyPLC,MDL-12,3.7.5,10.1.5.100,L2_SUPERVISORY,OPC_DA,ACTIVE,UNSEEN,HIGH,Operations,118
OT-00021,PLT-01,DCS_CONTROLLER,SensorTech,MDL-72,7.5.9,10.1.9.66,DMZ,PROFIBUS,ACTIVE,ONLINE,LOW,Unknown,245
OT-00022,PLT-01,PLC,ControlWorks,MDL-64,1.4.9,10.1.1.36,DMZ,PROFINET,ACTIVE,INTERMITTENT,MEDIUM,Vendor,212
OT-00023,PLT-01,OPC_SERVER,SensorTech,MDL-15,2.9.0,10.1.17.111,L0_FIELD,IEC104,ACTIVE,ONLINE,HIGH,Maintenance,388
OT-00024,PLT-01,HISTORIAN,LegacyPLC,MDL-46,9.2.2,10.1.2.77,L0_FIELD,IEC104,ACTIVE,ONLINE,HIGH,Unknown,253
OT-00025,PLT-01,ENG_WORKSTATION,SensorTech,MDL-66,2.2.7,10.1.4.46,L3_SITE_OPS,DNP3,ACTIVE,INTERMITTENT,MEDIUM,Vendor,236
OT-00026,PLT-01,OPC_SERVER,RemoteAssist,MDL-16,6.9.7,10.1.13.64,L2_SUPERVISORY,DNP3,UNKNOWN,ONLINE,HIGH,OT Security,236
OT-00027,PLT-01,VFD,HistorianX,MDL-74,2.3.2,10.1.15.63,DMZ,DNP3,ACTIVE,INTERMITTENT,MEDIUM,Vendor,129
OT-00028,PLT-01,VFD,SensorTech,MDL-85,1.1.1,10.1.18.20,L1_CONTROL,OPC_UA,ACTIVE,ONLINE,HIGH,Unknown,44
OT-00029,PLT-01,GATEWAY,MotorDriveCo,MDL-68,8.9.2,10.1.9.33,DMZ,VendorSerial,ACTIVE,ONLINE,HIGH,Unknown,72
OT-00030,PLT-01,OPC_SERVER,MotorDriveCo,MDL-20,6.9.9,10.1.1.112,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,HIGH,OT Security,174
OT-00031,PLT-01,RTU,SensorTech,MDL-87,9.4.6,10.1.13.175,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,HIGH,Operations,318
OT-00032,PLT-01,HISTORIAN,RemoteAssist,MDL-87,8.1.2,10.1.18.190,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,HIGH,Vendor,154
OT-00033,PLT-01,DCS_CONTROLLER,NetSwitchCo,MDL-31,7.6.2,10.1.12.146,L0_FIELD,VendorSerial,RETIRED,OFFLINE,MEDIUM,Maintenance,155
OT-00034,PLT-01,PLC,LegacyPLC,MDL-18,8.3.6,10.1.9.136,L0_FIELD,OPC_DA,ACTIVE,ONLINE,HIGH,Vendor,121
OT-00035,PLT-01,IED,LegacyPLC,MDL-50,7.5.0,10.1.6.83,L0_FIELD,IEC104,RETIRED,ONLINE,HIGH,Operations,360
OT-00036,PLT-01,NETWORK_SWITCH,FieldLink,MDL-93,5.3.4,10.1.9.42,DMZ,ModbusTCP,ACTIVE,OFFLINE,HIGH,Maintenance,172
OT-00037,PLT-01,HISTORIAN,FieldLink,MDL-23,3.7.0,10.1.5.161,L0_FIELD,EtherNetIP,ACTIVE,INTERMITTENT,HIGH,Vendor,395
OT-00038,PLT-01,GATEWAY,NetSwitchCo,MDL-72,7.9.6,10.1.7.54,L2_SUPERVISORY,IEC61850,UNKNOWN,ONLINE,LOW,OT Security,178
OT-00039,PLT-01,SENSOR,MotorDriveCo,MDL-28,2.4.1,10.1.7.238,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,MEDIUM,Operations,171
OT-00040,PLT-01,OPC_SERVER,FieldLink,MDL-77,9.6.1,10.1.17.141,L1_CONTROL,DNP3,RETIRED,ONLINE,CRITICAL,Maintenance,143
OT-00041,PLT-01,IED,SensorTech,MDL-46,2.6.4,10.1.15.198,L3_SITE_OPS,VendorSerial,UNKNOWN,ONLINE,MEDIUM,OT Security,311
OT-00042,PLT-01,SENSOR,HistorianX,MDL-87,6.6.0,10.1.9.156,L2_SUPERVISORY,ModbusTCP,ACTIVE,OFFLINE,CRITICAL,OT Security,259
OT-00043,PLT-01,VFD,HistorianX,MDL-59,2.2.0,10.1.12.236,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,CRITICAL,Maintenance,151
OT-00044,PLT-01,SAFETY_PLC,SafeLogic,MDL-36,2.3.2,10.1.14.5,DMZ,DNP3,ACTIVE,OFFLINE,HIGH,Operations,78
OT-00045,PLT-01,DCS_CONTROLLER,RemoteAssist,MDL-20,6.5.5,10.1.5.50,L1_CONTROL,VendorSerial,RETIRED,ONLINE,CRITICAL,Engineering,93
OT-00046,PLT-01,HMI,SafeLogic,MDL-86,2.5.6,10.1.1.6,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,HIGH,Unknown,37
OT-00047,PLT-01,SENSOR,RemoteAssist,MDL-61,1.5.4,10.1.18.173,DMZ,OPC_UA,UNKNOWN,ONLINE,CRITICAL,OT Security,169
OT-00048,PLT-01,IED,ProcessSys,MDL-16,7.2.4,10.1.2.188,L3_SITE_OPS,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Unknown,39
OT-00049,PLT-01,SENSOR,MotorDriveCo,MDL-79,8.2.8,10.1.2.93,DMZ,OPC_UA,ACTIVE,ONLINE,MEDIUM,Unknown,59
OT-00050,PLT-01,NETWORK_SWITCH,FieldLink,MDL-66,7.1.2,10.1.13.122,L2_SUPERVISORY,PROFIBUS,UNKNOWN,ONLINE,CRITICAL,Maintenance,262
OT-00051,PLT-01,SENSOR,LegacyPLC,MDL-35,8.2.8,10.1.2.15,L3_SITE_OPS,OPC_DA,ACTIVE,ONLINE,HIGH,Vendor,204
