alert_id,asset_id,plant_id,timestamp,type,severity,soc_status,process_context
ALT-000001,OT-00143,PLT-02,2026-09-05T07:42:00,UNEXPECTED_WRITE,MEDIUM,TRIAGED,NORMAL
ALT-000002,OT-00967,PLT-09,2026-09-06T17:02:00,MALWARE_SIGNAL,LOW,OPEN,UNKNOWN
ALT-000003,OT-01578,PLT-15,2026-09-21T10:22:00,PROTOCOL_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000004,OT-00313,PLT-03,2026-09-07T14:18:00,AUTH_ANOMALY,MEDIUM,SUPPRESSED,UNKNOWN
ALT-000005,OT-00235,PLT-03,2026-10-02T22:54:00,POLICY_VIOLATION,HIGH,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000006,OT-01301,PLT-12,2026-09-03T06:10:00,UNEXPECTED_WRITE,MEDIUM,TRIAGED,UNKNOWN
ALT-000007,OT-01329,PLT-13,2026-09-04T03:39:00,PROTOCOL_ANOMALY,MEDIUM,CLOSED,UNKNOWN
ALT-000008,OT-01274,PLT-12,2026-09-22T10:40:00,NEW_DEVICE,CRITICAL,TRIAGED,UNKNOWN
ALT-000009,OT-01844,PLT-17,2026-09-30T17:27:00,MALWARE_SIGNAL,HIGH,TRIAGED,MAINTENANCE_WINDOW
ALT-000010,OT-00916,PLT-09,2026-10-05T12:34:00,CONFIG_DRIFT,HIGH,CLOSED,UNKNOWN
ALT-000011,OT-01499,PLT-14,2026-09-01T11:30:00,AUTH_ANOMALY,MEDIUM,OPEN,UNKNOWN
ALT-000012,OT-00266,PLT-03,2026-09-29T20:00:00,CONFIG_DRIFT,HIGH,CLOSED,UNKNOWN
ALT-000013,OT-00262,PLT-03,2026-09-27T18:09:00,AUTH_ANOMALY,LOW,CLOSED,UNKNOWN
ALT-000014,OT-00076,PLT-01,2026-09-05T01:42:00,CONFIG_DRIFT,HIGH,SUPPRESSED,UNKNOWN
ALT-000015,OT-00514,PLT-05,2026-09-29T19:09:00,CONFIG_DRIFT,LOW,SUPPRESSED,MAINTENANCE_WINDOW
ALT-000016,OT-01595,PLT-15,2026-09-19T00:31:00,POLICY_VIOLATION,MEDIUM,OPEN,UNKNOWN
ALT-000017,OT-00336,PLT-04,2026-09-02T11:52:00,POLICY_VIOLATION,MEDIUM,CLOSED,UNKNOWN
ALT-000018,OT-01962,PLT-18,2026-09-29T14:14:00,AUTH_ANOMALY,HIGH,SUPPRESSED,NORMAL
ALT-000019,OT-00076,PLT-01,2026-09-22T15:02:00,AUTH_ANOMALY,LOW,TRIAGED,UNKNOWN
ALT-000020,OT-01744,PLT-16,2026-09-07T18:00:00,AUTH_ANOMALY,MEDIUM,TRIAGED,NORMAL
ALT-000021,OT-00292,PLT-03,2026-09-17T14:37:00,UNEXPECTED_WRITE,LOW,SUPPRESSED,UNKNOWN
