plant_id,source_asset,target_asset,protocol,approved_path,observed_last_24h,documented
PLT-01,OT-00101,OT-00039,IEC61850,YES,NO,YES
PLT-01,OT-00035,OT-00094,EtherNetIP,YES,YES,YES
PLT-01,OT-00030,OT-00004,IEC104,YES,YES,YES
PLT-01,OT-00098,OT-00075,EtherNetIP,YES,YES,YES
PLT-01,OT-00081,OT-00101,VendorSerial,YES,YES,YES
PLT-01,OT-00088,OT-00084,DNP3,YES,YES,YES
PLT-01,OT-00100,OT-00102,ModbusTCP,UNKNOWN,YES,YES
PLT-01,OT-00050,OT-00016,OPC_UA,NO,NO,YES
PLT-01,OT-00094,OT-00009,VendorSerial,YES,YES,YES
PLT-01,OT-00098,OT-00073,OPC_UA,YES,YES,YES
PLT-01,OT-00102,OT-00064,OPC_UA,UNKNOWN,YES,YES
PLT-01,OT-00061,OT-00005,VendorSerial,YES,YES,YES
PLT-01,OT-00022,OT-00066,OPC_UA,YES,YES,NO
PLT-01,OT-00081,OT-00025,IEC104,YES,YES,NO
PLT-01,OT-00081,OT-00030,OPC_UA,YES,YES,YES
PLT-01,OT-00065,OT-00046,OPC_UA,YES,YES,YES
PLT-01,OT-00061,OT-00053,PROFIBUS,YES,YES,YES
PLT-01,OT-00031,OT-00099,IEC61850,YES,YES,YES
PLT-01,OT-00070,OT-00055,IEC104,UNKNOWN,YES,YES
PLT-01,OT-00028,OT-00013,EtherNetIP,YES,YES,YES
PLT-01,OT-00095,OT-00067,EtherNetIP,YES,YES,YES
PLT-01,OT-00017,OT-00027,IEC104,YES,YES,YES
PLT-01,OT-00100,OT-00080,ModbusTCP,YES,YES,YES
PLT-01,OT-00017,OT-00070,OPC_UA,YES,YES,YES
PLT-01,OT-00005,OT-00022,ModbusTCP,YES,YES,YES
PLT-01,OT-00007,OT-00002,VendorSerial,YES,YES,YES
PLT-01,OT-00014,OT-00005,IEC61850,YES,NO,YES
PLT-01,OT-00005,OT-00097,OPC_UA,YES,YES,NO
PLT-01,OT-00027,OT-00087,DNP3,UNKNOWN,YES,NO
PLT-01,OT-00070,OT-00090,DNP3,NO,YES,YES
PLT-01,OT-00075,OT-00018,OPC_DA,YES,YES,YES
PLT-01,OT-00084,OT-00064,OPC_UA,NO,NO,YES
PLT-01,OT-00065,OT-00102,PROFINET,YES,YES,NO
PLT-01,OT-00016,OT-00086,ModbusTCP,YES,YES,YES
PLT-01,OT-00042,OT-00070,IEC61850,UNKNOWN,YES,YES
PLT-01,OT-00064,OT-00065,IEC104,YES,YES,YES
PLT-01,OT-00095,OT-00054,OPC_DA,YES,YES,NO
PLT-01,OT-00049,OT-00099,PROFIBUS,YES,YES,YES
PLT-01,OT-00016,OT-00033,ModbusTCP,YES,YES,YES
PLT-01,OT-00018,OT-00087,DNP3,NO,NO,NO
PLT-01,OT-00088,OT-00017,PROFIBUS,UNKNOWN,YES,NO
PLT-01,OT-00064,OT-00039,IEC104,YES,NO,NO
PLT-01,OT-00087,OT-00020,OPC_DA,YES,YES,YES
PLT-01,OT-00051,OT-00033,PROFIBUS,YES,YES,YES
PLT-01,OT-00025,OT-00036,EtherNetIP,YES,NO,NO
PLT-01,OT-00093,OT-00053,OPC_DA,YES,NO,NO
PLT-01,OT-00085,OT-00019,DNP3,UNKNOWN,YES,NO
PLT-01,OT-00048,OT-00017,VendorSerial,YES,YES,YES
PLT-01,OT-00044,OT-00003,DNP3,YES,NO,YES
PLT-01,OT-00089,OT-00014,PROFINET,YES,NO,YES
PLT-01,OT-00076,OT-00100,PROFIBUS,YES,NO,YES
PLT-01,OT-00051,OT-00095,DNP3,YES,YES,YES
PLT-01,OT-00003,OT-00095,OPC_UA,YES,NO,NO
PLT-01,OT-00066,OT-00025,EtherNetIP,YES,NO,YES
PLT-01,OT-00011,OT-00035,OPC_DA,YES,YES,YES
PLT-01,OT-00011,OT-00031,PROFIBUS,YES,YES,NO
PLT-01,OT-00054,OT-00064,IEC61850,YES,YES,YES
PLT-01,OT-00070,OT-00038,OPC_UA,UNKNOWN,YES,NO
PLT-01,OT-00066,OT-00078,OPC_UA,YES,YES,YES
PLT-01,OT-00005,OT-00045,EtherNetIP,NO,YES,YES
PLT-01,OT-00045,OT-00079,VendorSerial,YES,YES,YES
PLT-01,OT-00097,OT-00001,DNP3,YES,YES,YES
PLT-01,OT-00025,OT-00054,IEC104,YES,YES,YES
PLT-01,OT-00053,OT-00045,DNP3,YES,YES,YES
PLT-01,OT-00028,OT-00012,VendorSerial,YES,YES,YES
PLT-01,OT-00051,OT-00058,PROFINET,YES,YES,NO
PLT-01,OT-00089,OT-00044,IEC61850,YES,YES,YES
PLT-01,OT-00085,OT-00019,OPC_UA,YES,YES,YES
PLT-01,OT-00090,OT-00046,OPC_UA,YES,NO,YES
PLT-01,OT-00044,OT-00029,IEC61850,YES,YES,YES
PLT-01,OT-00012,OT-00096,IEC61850,YES,YES,YES
PLT-01,OT-00089,OT-00096,DNP3,YES,YES,NO
PLT-01,OT-00102,OT-00067,OPC_DA,YES,YES,NO
PLT-01,OT-00091,OT-00053,DNP3,YES,YES,NO
PLT-01,OT-00074,OT-00028,PROFIBUS,YES,YES,YES
PLT-01,OT-00024,OT-00095,PROFINET,YES,YES,NO
PLT-01,OT-00062,OT-00064,OPC_UA,YES,YES,YES
PLT-01,OT-00095,OT-00046,PROFINET,YES,YES,NO
PLT-01,OT-00037,OT-00010,EtherNetIP,YES,YES,YES
PLT-01,OT-00029,OT-00090,EtherNetIP,NO,YES,YES
PLT-01,OT-00048,OT-00070,PROFIBUS,YES,YES,NO
PLT-01,OT-00076,OT-00059,VendorSerial,YES,YES,YES
PLT-01,OT-00076,OT-00014,OPC_DA,NO,NO,YES
PLT-01,OT-00095,OT-00087,OPC_DA,YES,YES,YES
PLT-01,OT-00051,OT-00090,VendorSerial,UNKNOWN,YES,YES
PLT-01,OT-00063,OT-00091,PROFIBUS,YES,YES,YES
PLT-01,OT-00102,OT-00069,VendorSerial,YES,NO,YES
