plant_id,upstream_unit,downstream_unit,dependency_type,documented,critical
PLT-01,PLT-01-U01,PLT-01-U02,material_flow,NO,NO
PLT-01,PLT-01-U02,PLT-01-U03,control,YES,YES
PLT-01,PLT-01-U03,PLT-01-U04,material_flow,YES,YES
PLT-01,PLT-01-U04,PLT-01-U05,control,YES,YES
PLT-01,PLT-01-U05,PLT-01-U06,safety,YES,YES
PLT-01,PLT-01-U06,PLT-01-U07,material_flow,YES,NO
PLT-01,PLT-01-U07,PLT-01-U08,material_flow,NO,NO
PLT-01,PLT-01-U08,PLT-01-U09,safety,YES,NO
PLT-01,PLT-01-U09,PLT-01-U10,utility,NO,YES
PLT-01,PLT-01-U10,PLT-01-U11,material_flow,YES,YES
PLT-01,PLT-01-U11,PLT-01-U12,control,YES,YES
PLT-02,PLT-02-U01,PLT-02-U02,utility,NO,YES
PLT-02,PLT-02-U02,PLT-02-U03,data,YES,NO
PLT-02,PLT-02-U03,PLT-02-U04,data,NO,YES
PLT-02,PLT-02-U04,PLT-02-U05,utility,YES,NO
PLT-02,PLT-02-U05,PLT-02-U06,control,YES,NO
PLT-02,PLT-02-U06,PLT-02-U07,safety,YES,YES
PLT-02,PLT-02-U07,PLT-02-U08,data,NO,YES
PLT-02,PLT-02-U08,PLT-02-U09,safety,YES,YES
PLT-02,PLT-02-U09,PLT-02-U10,material_flow,YES,YES
PLT-02,PLT-02-U10,PLT-02-U11,control,YES,NO
PLT-02,PLT-02-U11,PLT-02-U12,safety,NO,YES
PLT-03,PLT-03-U01,PLT-03-U02,utility,YES,YES
PLT-03,PLT-03-U02,PLT-03-U03,data,YES,YES
PLT-03,PLT-03-U03,PLT-03-U04,safety,NO,YES
PLT-03,PLT-03-U04,PLT-03-U05,material_flow,YES,NO
PLT-03,PLT-03-U05,PLT-03-U06,data,YES,NO
PLT-03,PLT-03-U06,PLT-03-U07,material_flow,YES,YES
PLT-03,PLT-03-U07,PLT-03-U08,control,NO,YES
PLT-03,PLT-03-U08,PLT-03-U09,material_flow,YES,YES
PLT-03,PLT-03-U09,PLT-03-U10,safety,YES,YES
PLT-03,PLT-03-U10,PLT-03-U11,safety,NO,NO
