plant_id,component,rto_hours,last_restore_test_days,backup_status,manual_fallback,runbook_status,dependency_verified
PLT-01,NETWORK,4,185,CURRENT,YES,CURRENT,YES
PLT-01,IDENTITY,8,360,CURRENT,LIMITED,STALE,YES
PLT-01,SCADA,1,139,STALE,NO,CURRENT,YES
PLT-01,HISTORIAN,8,657,CURRENT,LIMITED,CURRENT,YES
PLT-01,ENGINEERING_WS,24,88,STALE,LIMITED,CURRENT,YES
PLT-01,PLC_DCS,2,510,CURRENT,YES,CURRENT,YES
PLT-01,MES_INTERFACE,24,433,CURRENT,YES,CURRENT,NO
PLT-01,BACKUP_REPOSITORY,2,268,UNKNOWN,YES,CURRENT,YES
PLT-02,NETWORK,24,334,CURRENT,YES,CURRENT,YES
PLT-02,IDENTITY,24,169,CURRENT,LIMITED,CURRENT,YES
PLT-02,SCADA,1,480,UNKNOWN,NO,MISSING,NO
PLT-02,HISTORIAN,2,150,CURRENT,LIMITED,MISSING,YES
PLT-02,ENGINEERING_WS,4,129,CURRENT,YES,CURRENT,YES
PLT-02,PLC_DCS,4,310,CURRENT,YES,CURRENT,YES
PLT-02,MES_INTERFACE,2,487,CURRENT,YES,STALE,UNKNOWN
PLT-02,BACKUP_REPOSITORY,24,470,CURRENT,YES,CURRENT,YES
PLT-03,NETWORK,12,516,UNKNOWN,LIMITED,CURRENT,NO
PLT-03,IDENTITY,12,266,CURRENT,YES,STALE,YES
PLT-03,SCADA,1,201,CURRENT,YES,CURRENT,YES
PLT-03,HISTORIAN,1,484,CURRENT,NO,MISSING,YES
PLT-03,ENGINEERING_WS,24,267,CURRENT,LIMITED,CURRENT,YES
PLT-03,PLC_DCS,24,491,CURRENT,NO,CURRENT,YES
PLT-03,MES_INTERFACE,1,675,CURRENT,NO,CURRENT,YES
PLT-03,BACKUP_REPOSITORY,4,66,CURRENT,NO,MISSING,YES
PLT-04,NETWORK,1,596,CURRENT,YES,STALE,YES
PLT-04,IDENTITY,1,148,CURRENT,LIMITED,CURRENT,YES
PLT-04,SCADA,8,297,CURRENT,YES,CURRENT,YES
PLT-04,HISTORIAN,24,623,STALE,NO,CURRENT,YES
PLT-04,ENGINEERING_WS,12,495,CURRENT,NO,CURRENT,YES
PLT-04,PLC_DCS,8,415,CURRENT,YES,CURRENT,UNKNOWN
PLT-04,MES_INTERFACE,1,13,CURRENT,LIMITED,CURRENT,YES
PLT-04,BACKUP_REPOSITORY,12,629,CURRENT,NO,MISSING,YES
PLT-05,NETWORK,24,289,CURRENT,NO,CURRENT,YES
PLT-05,IDENTITY,12,510,CURRENT,LIMITED,CURRENT,YES
PLT-05,SCADA,2,539,CURRENT,YES,STALE,YES
PLT-05,HISTORIAN,8,511,CURRENT,YES,CURRENT,YES
PLT-05,ENGINEERING_WS,24,255,CURRENT,LIMITED,CURRENT,YES
PLT-05,PLC_DCS,4,232,CURRENT,NO,CURRENT,YES
PLT-05,MES_INTERFACE,4,198,CURRENT,YES,CURRENT,YES
PLT-05,BACKUP_REPOSITORY,8,482,CURRENT,YES,STALE,YES
PLT-06,NETWORK,24,30,CURRENT,LIMITED,CURRENT,YES
PLT-06,IDENTITY,4,479,CURRENT,NO,STALE,YES
PLT-06,SCADA,8,295,CURRENT,NO,MISSING,YES
PLT-06,HISTORIAN,2,433,STALE,YES,STALE,UNKNOWN
PLT-06,ENGINEERING_WS,4,323,CURRENT,LIMITED,CURRENT,YES
PLT-06,PLC_DCS,12,665,CURRENT,NO,MISSING,YES
PLT-06,MES_INTERFACE,8,175,STALE,YES,MISSING,NO
PLT-06,BACKUP_REPOSITORY,4,74,STALE,NO,CURRENT,NO
PLT-07,NETWORK,1,71,CURRENT,YES,CURRENT,NO
PLT-07,IDENTITY,24,209,STALE,YES,CURRENT,YES
PLT-07,SCADA,2,360,CURRENT,YES,MISSING,YES
PLT-07,HISTORIAN,2,688,CURRENT,YES,CURRENT,YES
PLT-07,ENGINEERING_WS,24,417,STALE,YES,CURRENT,YES
PLT-07,PLC_DCS,24,519,CURRENT,YES,CURRENT,YES
PLT-07,MES_INTERFACE,1,673,CURRENT,LIMITED,CURRENT,YES
PLT-07,BACKUP_REPOSITORY,1,484,CURRENT,NO,CURRENT,YES
PLT-08,NETWORK,24,128,CURRENT,YES,MISSING,YES
PLT-08,IDENTITY,1,170,CURRENT,LIMITED,CURRENT,YES
PLT-08,SCADA,12,256,CURRENT,LIMITED,CURRENT,YES
PLT-08,HISTORIAN,2,682,CURRENT,YES,CURRENT,UNKNOWN
PLT-08,ENGINEERING_WS,2,437,CURRENT,NO,CURRENT,UNKNOWN
PLT-08,PLC_DCS,12,117,STALE,NO,CURRENT,YES
PLT-08,MES_INTERFACE,12,25,CURRENT,NO,CURRENT,YES
PLT-08,BACKUP_REPOSITORY,24,494,CURRENT,YES,CURRENT,NO
PLT-09,NETWORK,8,664,CURRENT,LIMITED,CURRENT,UNKNOWN
