session_id,asset_id,plant_id,identity,method,approved_window,start_time,end_time,mfa
RA-00001,OT-01434,PLT-14,unknown,remote_desktop,YES,2026-09-14T04:20:00,2026-09-14T04:31:00,YES
RA-00002,OT-01645,PLT-15,vendor.engineer,local_service_laptop,YES,2026-09-16T23:20:00,2026-09-17T02:10:00,YES
RA-00003,OT-01609,PLT-15,vendor.engineer,remote_desktop,YES,2026-10-02T13:37:00,2026-10-02T15:13:00,YES
RA-00004,OT-00698,PLT-07,unknown,local_service_laptop,YES,2026-09-15T20:19:00,2026-09-15T21:20:00,YES
RA-00005,OT-01863,PLT-17,vendor.engineer,remote_desktop,YES,2026-09-11T15:32:00,2026-09-11T17:42:00,YES
RA-00006,OT-00625,PLT-06,shared_support,remote_desktop,YES,2026-09-26T06:38:00,2026-09-26T07:34:00,YES
RA-00007,OT-00538,PLT-06,site.engineer,remote_desktop,YES,2026-09-14T17:42:00,2026-09-14T18:26:00,YES
RA-00008,OT-01368,PLT-13,shared_support,remote_desktop,YES,2026-09-28T05:38:00,2026-09-28T08:11:00,YES
RA-00009,OT-01964,PLT-18,shared_support,remote_desktop,NO,2026-09-19T19:56:00,2026-09-19T21:36:00,YES
RA-00010,OT-01737,PLT-16,site.engineer,jump_host,YES,2026-09-24T19:36:00,2026-09-24T20:31:00,YES
RA-00011,OT-01369,PLT-13,unknown,vendor_vpn,YES,2026-09-21T10:43:00,2026-09-21T12:08:00,YES
RA-00012,OT-01980,PLT-18,site.engineer,jump_host,NO,2026-09-30T07:34:00,2026-09-30T07:54:00,YES
RA-00013,OT-00223,PLT-03,contractor,jump_host,UNKNOWN,2026-09-15T09:15:00,2026-09-15T10:53:00,YES
RA-00014,OT-01497,PLT-14,site.engineer,local_service_laptop,YES,2026-09-07T11:09:00,2026-09-07T13:41:00,YES
RA-00015,OT-00069,PLT-01,unknown,vendor_vpn,YES,2026-09-08T17:46:00,2026-09-08T19:42:00,YES
RA-00016,OT-01335,PLT-13,contractor,remote_desktop,YES,2026-09-28T04:35:00,2026-09-28T05:00:00,YES
RA-00017,OT-01034,PLT-10,shared_support,remote_desktop,YES,2026-10-04T14:41:00,2026-10-04T15:50:00,YES
RA-00018,OT-00415,PLT-04,unknown,jump_host,UNKNOWN,2026-09-29T11:16:00,2026-09-29T13:17:00,YES
RA-00019,OT-00572,PLT-06,site.engineer,vendor_vpn,YES,2026-09-09T18:58:00,2026-09-09T20:46:00,YES
RA-00020,OT-01329,PLT-13,unknown,local_service_laptop,YES,2026-09-23T12:52:00,2026-09-23T14:12:00,NO
RA-00021,OT-00841,PLT-08,site.engineer,remote_desktop,YES,2026-09-30T08:08:00,2026-09-30T10:13:00,YES
RA-00022,OT-00690,PLT-07,shared_support,jump_host,YES,2026-10-02T09:15:00,2026-10-02T12:09:00,YES
RA-00023,OT-01053,PLT-10,contractor,local_service_laptop,YES,2026-09-30T03:49:00,2026-09-30T05:17:00,YES
RA-00024,OT-00578,PLT-06,contractor,remote_desktop,YES,2026-09-24T10:29:00,2026-09-24T11:57:00,YES
RA-00025,OT-01025,PLT-10,site.engineer,local_service_laptop,NO,2026-09-17T17:06:00,2026-09-17T18:01:00,YES
RA-00026,OT-00693,PLT-07,vendor.engineer,local_service_laptop,YES,2026-09-18T02:40:00,2026-09-18T03:02:00,YES
RA-00027,OT-00723,PLT-07,vendor.engineer,local_service_laptop,UNKNOWN,2026-10-05T11:30:00,2026-10-05T12:42:00,YES
RA-00028,OT-01157,PLT-11,unknown,local_service_laptop,YES,2026-09-09T12:48:00,2026-09-09T13:45:00,YES
RA-00029,OT-00737,PLT-07,unknown,jump_host,YES,2026-09-26T01:05:00,2026-09-26T02:10:00,YES
RA-00030,OT-00221,PLT-03,shared_support,jump_host,NO,2026-10-01T00:33:00,2026-10-01T01:43:00,YES
RA-00031,OT-01802,PLT-17,contractor,jump_host,YES,2026-09-06T04:20:00,2026-09-06T04:38:00,YES
RA-00032,OT-00347,PLT-04,vendor.engineer,remote_desktop,YES,2026-09-16T12:39:00,2026-09-16T13:29:00,YES
RA-00033,OT-01522,PLT-14,contractor,local_service_laptop,YES,2026-10-04T20:11:00,2026-10-04T22:54:00,YES
RA-00034,OT-01719,PLT-16,unknown,local_service_laptop,YES,2026-09-14T09:26:00,2026-09-14T11:55:00,YES
RA-00035,OT-01392,PLT-13,unknown,remote_desktop,YES,2026-09-25T20:29:00,2026-09-25T21:23:00,YES
RA-00036,OT-01301,PLT-12,shared_support,local_service_laptop,UNKNOWN,2026-09-10T21:37:00,2026-09-10T23:53:00,YES
RA-00037,OT-01598,PLT-15,site.engineer,vendor_vpn,YES,2026-09-23T22:29:00,2026-09-24T01:27:00,YES
RA-00038,OT-01599,PLT-15,unknown,local_service_laptop,YES,2026-09-15T19:38:00,2026-09-15T21:24:00,UNKNOWN
RA-00039,OT-01098,PLT-10,shared_support,local_service_laptop,YES,2026-09-22T20:59:00,2026-09-22T21:16:00,UNKNOWN
RA-00040,OT-01572,PLT-15,unknown,remote_desktop,YES,2026-09-21T14:48:00,2026-09-21T17:39:00,YES
RA-00041,OT-01581,PLT-15,shared_support,remote_desktop,YES,2026-09-19T15:56:00,2026-09-19T18:50:00,YES
RA-00042,OT-01482,PLT-14,contractor,vendor_vpn,YES,2026-09-06T11:14:00,2026-09-06T12:20:00,UNKNOWN
RA-00043,OT-00919,PLT-09,unknown,remote_desktop,YES,2026-10-05T04:52:00,2026-10-05T06:16:00,YES
RA-00044,OT-00856,PLT-08,site.engineer,vendor_vpn,YES,2026-09-07T14:29:00,2026-09-07T15:59:00,YES
RA-00045,OT-01567,PLT-15,site.engineer,vendor_vpn,YES,2026-09-01T02:14:00,2026-09-01T02:59:00,YES
RA-00046,OT-01866,PLT-17,shared_support,local_service_laptop,YES,2026-09-17T09:52:00,2026-09-17T10:46:00,YES
