barrier_id,plant_id,unit_id,barrier_type,state,proof_test_status,bypass_authorized
PLT-01-SAFE-01,PLT-01,PLT-01-U01,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-01-SAFE-02,PLT-01,PLT-01-U08,ALARM,ACTIVE,CURRENT,NO
PLT-01-SAFE-03,PLT-01,PLT-01-U09,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-04,PLT-01,PLT-01-U02,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-01-SAFE-05,PLT-01,PLT-01-U04,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-06,PLT-01,PLT-01-U05,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-07,PLT-01,PLT-01-U06,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-01-SAFE-08,PLT-01,PLT-01-U04,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-01-SAFE-09,PLT-01,PLT-01-U03,ALARM,ACTIVE,DUE,UNKNOWN
PLT-01-SAFE-10,PLT-01,PLT-01-U04,INTERLOCK,ACTIVE,DUE,UNKNOWN
PLT-01-SAFE-11,PLT-01,PLT-01-U05,RELIEF,ACTIVE,CURRENT,NO
PLT-01-SAFE-12,PLT-01,PLT-01-U09,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-13,PLT-01,PLT-01-U03,INTERLOCK,ACTIVE,CURRENT,NO
PLT-01-SAFE-14,PLT-01,PLT-01-U02,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-15,PLT-01,PLT-01-U11,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-16,PLT-01,PLT-01-U01,RELIEF,ACTIVE,CURRENT,YES
PLT-01-SAFE-17,PLT-01,PLT-01-U03,SIS_TRIP,ACTIVE,OVERDUE,NO
PLT-01-SAFE-18,PLT-01,PLT-01-U02,INTERLOCK,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-19,PLT-01,PLT-01-U11,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-01-SAFE-20,PLT-01,PLT-01-U06,RELIEF,ACTIVE,CURRENT,NO
PLT-01-SAFE-21,PLT-01,PLT-01-U03,ALARM,ACTIVE,CURRENT,YES
PLT-01-SAFE-22,PLT-01,PLT-01-U05,INTERLOCK,ACTIVE,CURRENT,YES
PLT-01-SAFE-23,PLT-01,PLT-01-U08,RELIEF,ACTIVE,OVERDUE,NO
PLT-01-SAFE-24,PLT-01,PLT-01-U07,PERMISSIVE,ACTIVE,CURRENT,YES
PLT-01-SAFE-25,PLT-01,PLT-01-U02,PERMISSIVE,ACTIVE,CURRENT,UNKNOWN
PLT-02-SAFE-01,PLT-02,PLT-02-U04,INTERLOCK,ACTIVE,OVERDUE,UNKNOWN
PLT-02-SAFE-02,PLT-02,PLT-02-U06,INTERLOCK,ACTIVE,CURRENT,NO
PLT-02-SAFE-03,PLT-02,PLT-02-U03,RELIEF,ACTIVE,CURRENT,UNKNOWN
PLT-02-SAFE-04,PLT-02,PLT-02-U04,RELIEF,ACTIVE,DUE,YES
PLT-02-SAFE-05,PLT-02,PLT-02-U04,PERMISSIVE,ACTIVE,DUE,NO
PLT-02-SAFE-06,PLT-02,PLT-02-U01,RELIEF,ACTIVE,CURRENT,NO
PLT-02-SAFE-07,PLT-02,PLT-02-U10,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-02-SAFE-08,PLT-02,PLT-02-U10,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-02-SAFE-09,PLT-02,PLT-02-U11,RELIEF,ACTIVE,CURRENT,YES
PLT-02-SAFE-10,PLT-02,PLT-02-U11,INTERLOCK,ACTIVE,CURRENT,YES
PLT-02-SAFE-11,PLT-02,PLT-02-U05,INTERLOCK,ACTIVE,CURRENT,YES
PLT-02-SAFE-12,PLT-02,PLT-02-U03,PERMISSIVE,ACTIVE,CURRENT,NO
PLT-02-SAFE-13,PLT-02,PLT-02-U06,SIS_TRIP,ACTIVE,CURRENT,UNKNOWN
PLT-02-SAFE-14,PLT-02,PLT-02-U01,RELIEF,DEGRADED,CURRENT,UNKNOWN
PLT-02-SAFE-15,PLT-02,PLT-02-U10,SIS_TRIP,ACTIVE,CURRENT,NO
PLT-02-SAFE-16,PLT-02,PLT-02-U03,PERMISSIVE,ACTIVE,DUE,UNKNOWN
PLT-02-SAFE-17,PLT-02,PLT-02-U06,INTERLOCK,BYPASSED,OVERDUE,UNKNOWN
PLT-02-SAFE-18,PLT-02,PLT-02-U03,RELIEF,ACTIVE,CURRENT,YES
PLT-02-SAFE-19,PLT-02,PLT-02-U08,ALARM,ACTIVE,CURRENT,UNKNOWN
PLT-02-SAFE-20,PLT-02,PLT-02-U05,SIS_TRIP,ACTIVE,DUE,YES
PLT-02-SAFE-21,PLT-02,PLT-02-U01,INTERLOCK,DEGRADED,CURRENT,YES
PLT-02-SAFE-22,PLT-02,PLT-02-U03,INTERLOCK,ACTIVE,CURRENT,NO
PLT-02-SAFE-23,PLT-02,PLT-02-U10,RELIEF,ACTIVE,OVERDUE,YES
PLT-02-SAFE-24,PLT-02,PLT-02-U11,RELIEF,ACTIVE,CURRENT,YES
PLT-02-SAFE-25,PLT-02,PLT-02-U04,RELIEF,ACTIVE,OVERDUE,UNKNOWN
