finding_id,asset_id,severity,cvss,exploitability,network_reachable,compensating_control,status
VUL-00001,OT-00137,HIGH,5.2,MEDIUM,NO,ALLOWLIST,MITIGATED
VUL-00002,OT-00818,HIGH,8.5,MEDIUM,YES,MONITORED,OPEN
VUL-00003,OT-01300,MEDIUM,9.2,HIGH,YES,SEGMENTED,OPEN
VUL-00004,OT-00289,LOW,9.6,LOW,UNKNOWN,MONITORED,OPEN
VUL-00005,OT-00743,LOW,8.0,LOW,NO,UNKNOWN,MITIGATED
VUL-00006,OT-00719,CRITICAL,9.3,HIGH,YES,SEGMENTED,OPEN
VUL-00007,OT-01933,LOW,7.1,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00008,OT-01650,CRITICAL,4.1,MEDIUM,YES,UNKNOWN,OPEN
VUL-00009,OT-01085,MEDIUM,5.8,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00010,OT-01492,HIGH,6.6,MEDIUM,YES,UNKNOWN,OPEN
VUL-00011,OT-01185,CRITICAL,8.5,MEDIUM,UNKNOWN,SEGMENTED,OPEN
VUL-00012,OT-01750,HIGH,8.7,HIGH,UNKNOWN,UNKNOWN,OPEN
VUL-00013,OT-01442,LOW,6.2,HIGH,NO,SEGMENTED,OPEN
VUL-00014,OT-01476,MEDIUM,9.5,HIGH,NO,MONITORED,MITIGATED
VUL-00015,OT-01061,HIGH,4.2,LOW,YES,NONE,OPEN
VUL-00016,OT-00448,CRITICAL,8.2,MEDIUM,YES,ALLOWLIST,OPEN
VUL-00017,OT-00040,CRITICAL,8.7,MEDIUM,NO,ALLOWLIST,OPEN
VUL-00018,OT-01608,LOW,4.7,HIGH,NO,ALLOWLIST,MITIGATED
VUL-00019,OT-00700,CRITICAL,6.9,MEDIUM,UNKNOWN,UNKNOWN,MITIGATED
VUL-00020,OT-00627,CRITICAL,4.1,MEDIUM,UNKNOWN,SEGMENTED,MITIGATED
VUL-00021,OT-00388,LOW,8.4,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00022,OT-01455,CRITICAL,9.0,MEDIUM,YES,UNKNOWN,MITIGATED
VUL-00023,OT-01291,CRITICAL,7.8,MEDIUM,UNKNOWN,ALLOWLIST,OPEN
VUL-00024,OT-00546,LOW,9.0,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00025,OT-00257,LOW,7.1,MEDIUM,UNKNOWN,MONITORED,OPEN
VUL-00026,OT-00567,HIGH,7.2,HIGH,NO,NONE,OPEN
VUL-00027,OT-01516,HIGH,6.3,LOW,UNKNOWN,ALLOWLIST,OPEN
VUL-00028,OT-00381,MEDIUM,8.6,HIGH,YES,MONITORED,OPEN
VUL-00029,OT-01924,CRITICAL,4.2,HIGH,YES,MONITORED,ACCEPTED
VUL-00030,OT-01564,HIGH,5.8,MEDIUM,NO,NONE,OPEN
VUL-00031,OT-00065,LOW,8.2,LOW,NO,NONE,OPEN
VUL-00032,OT-01914,HIGH,8.1,LOW,NO,NONE,OPEN
VUL-00033,OT-00622,CRITICAL,9.0,HIGH,UNKNOWN,ALLOWLIST,OPEN
VUL-00034,OT-00793,CRITICAL,9.0,HIGH,UNKNOWN,SEGMENTED,OPEN
VUL-00035,OT-00337,MEDIUM,5.7,MEDIUM,NO,MONITORED,OPEN
VUL-00036,OT-01354,CRITICAL,4.4,LOW,NO,MONITORED,OPEN
VUL-00037,OT-01143,LOW,7.9,HIGH,YES,MONITORED,ACCEPTED
VUL-00038,OT-01979,HIGH,6.3,HIGH,NO,SEGMENTED,OPEN
VUL-00039,OT-01976,CRITICAL,6.4,LOW,NO,NONE,OPEN
VUL-00040,OT-00844,HIGH,5.2,LOW,YES,ALLOWLIST,MITIGATED
VUL-00041,OT-00675,LOW,7.0,HIGH,UNKNOWN,NONE,MITIGATED
VUL-00042,OT-01110,CRITICAL,5.3,HIGH,NO,UNKNOWN,OPEN
VUL-00043,OT-01760,MEDIUM,8.2,LOW,NO,ALLOWLIST,MITIGATED
VUL-00044,OT-01532,HIGH,6.6,MEDIUM,UNKNOWN,NONE,OPEN
VUL-00045,OT-01905,HIGH,5.0,LOW,UNKNOWN,NONE,OPEN
VUL-00046,OT-00585,HIGH,8.8,LOW,NO,ALLOWLIST,OPEN
VUL-00047,OT-01019,MEDIUM,6.1,LOW,UNKNOWN,UNKNOWN,OPEN
VUL-00048,OT-01755,CRITICAL,8.8,LOW,YES,UNKNOWN,OPEN
VUL-00049,OT-00869,CRITICAL,4.7,LOW,NO,ALLOWLIST,OPEN
VUL-00050,OT-01482,MEDIUM,4.1,MEDIUM,UNKNOWN,MONITORED,ACCEPTED
VUL-00051,OT-00407,HIGH,7.5,HIGH,YES,SEGMENTED,OPEN
VUL-00052,OT-01980,MEDIUM,9.9,LOW,YES,UNKNOWN,OPEN
VUL-00053,OT-00593,LOW,4.7,LOW,NO,UNKNOWN,ACCEPTED
VUL-00054,OT-01006,LOW,5.0,LOW,NO,SEGMENTED,OPEN
VUL-00055,OT-00867,LOW,6.7,HIGH,YES,NONE,OPEN
VUL-00056,OT-00130,CRITICAL,9.6,LOW,NO,MONITORED,OPEN
VUL-00057,OT-00921,MEDIUM,4.5,HIGH,NO,NONE,MITIGATED
VUL-00058,OT-00304,LOW,8.0,LOW,YES,UNKNOWN,OPEN
VUL-00059,OT-01437,LOW,9.1,LOW,NO,NONE,OPEN
VUL-00060,OT-00557,LOW,8.7,MEDIUM,YES,MONITORED,MITIGATED
VUL-00061,OT-00806,HIGH,6.0,MEDIUM,UNKNOWN,ALLOWLIST,MITIGATED
VUL-00062,OT-01392,CRITICAL,4.1,MEDIUM,YES,ALLOWLIST,OPEN
