work_order_id,asset_id,plant_id,type,cmms_status,field_status,opened_at,closed_at,temporary_bypass,notes
WO-000001,OT-00875,PLT-08,PM,CLOSED,RETURNED_TO_SERVICE,2026-09-02T05:00:00,2026-09-02T16:00:00,NO,awaiting vendor
WO-000002,OT-01899,PLT-18,PM,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-24T04:00:00,,NO,standard work
WO-000003,OT-01708,PLT-16,INSPECTION,DEFERRED,ACTIVE,2026-09-23T01:00:00,,NO,parts substituted
WO-000004,OT-01717,PLT-16,CALIBRATION,DEFERRED,RETURNED_TO_SERVICE,2026-09-09T16:00:00,,NO,standard work
WO-000005,OT-00578,PLT-06,EMERGENCY,CLOSED,RETURNED_TO_SERVICE,2026-09-28T03:00:00,,NO,standard work
WO-000006,OT-01185,PLT-11,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-10-03T23:00:00,2026-10-04T23:00:00,NO,parts substituted
WO-000007,OT-01750,PLT-16,CM,DEFERRED,OUT_OF_SERVICE,2026-09-19T16:00:00,,YES,documentation pending
WO-000008,OT-01017,PLT-10,CM,IN_PROGRESS,OUT_OF_SERVICE,2026-09-03T01:00:00,,NO,parts substituted
WO-000009,OT-00991,PLT-10,CM,CLOSED,OUT_OF_SERVICE,2026-09-12T05:00:00,2026-09-12T08:00:00,NO,standard work
WO-000010,OT-01488,PLT-14,INSPECTION,DEFERRED,RETURNED_TO_SERVICE,2026-09-11T15:00:00,2026-09-13T13:00:00,NO,operator workaround active
WO-000011,OT-01841,PLT-17,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-01T22:00:00,2026-10-02T09:00:00,NO,operator workaround active
WO-000012,OT-00085,PLT-01,EMERGENCY,OPEN,RETURNED_TO_SERVICE,2026-09-28T12:00:00,,NO,standard work
WO-000013,OT-01662,PLT-15,CM,IN_PROGRESS,OUT_OF_SERVICE,2026-10-09T23:00:00,,NO,parts substituted
WO-000014,OT-01181,PLT-11,CALIBRATION,IN_PROGRESS,RETURNED_TO_SERVICE,2026-10-08T22:00:00,,NO,parts substituted
WO-000015,OT-01954,PLT-18,CM,DEFERRED,DEGRADED,2026-10-03T14:00:00,2026-10-04T07:00:00,NO,parts substituted
WO-000016,OT-00069,PLT-01,INSPECTION,CLOSED,OUT_OF_SERVICE,2026-09-16T22:00:00,2026-09-17T11:00:00,NO,parts substituted
WO-000017,OT-01118,PLT-11,EMERGENCY,OPEN,DEGRADED,2026-09-04T13:00:00,2026-09-06T20:00:00,NO,standard work
WO-000018,OT-01098,PLT-10,CALIBRATION,CLOSED,ACTIVE,2026-09-18T21:00:00,2026-09-20T19:00:00,YES,awaiting vendor
WO-000019,OT-00320,PLT-03,EMERGENCY,OPEN,DEGRADED,2026-09-20T01:00:00,2026-09-20T15:00:00,NO,standard work
WO-000020,OT-01539,PLT-14,CM,OPEN,DEGRADED,2026-09-02T03:00:00,2026-09-03T05:00:00,NO,operator workaround active
WO-000021,OT-00610,PLT-06,CALIBRATION,IN_PROGRESS,ACTIVE,2026-09-02T22:00:00,2026-09-04T08:00:00,NO,awaiting vendor
WO-000022,OT-00847,PLT-08,CALIBRATION,CLOSED,ACTIVE,2026-10-05T16:00:00,2026-10-07T10:00:00,NO,awaiting vendor
WO-000023,OT-00064,PLT-01,EMERGENCY,IN_PROGRESS,RETURNED_TO_SERVICE,2026-09-07T15:00:00,2026-09-08T03:00:00,NO,parts substituted
WO-000024,OT-01036,PLT-10,CALIBRATION,OPEN,DEGRADED,2026-09-30T01:00:00,2026-10-02T12:00:00,NO,standard work
WO-000025,OT-00955,PLT-09,PM,IN_PROGRESS,ACTIVE,2026-09-18T21:00:00,2026-09-19T10:00:00,NO,parts substituted
WO-000026,OT-01432,PLT-14,CM,CLOSED,DEGRADED,2026-09-15T01:00:00,2026-09-17T16:00:00,NO,operator workaround active
