plant_id,region,country,plant_type,criticality,timezone,maturity,operator
PLT-01,NA,Country-2,chemicals,HIGH,UTC+5:30,legacy,BusinessUnit-2
PLT-02,EU,Country-3,pharma,HIGH,UTC+5:30,modernizing,BusinessUnit-3
PLT-03,APAC,Country-4,food,HIGH,UTC+8,mixed,BusinessUnit-4
PLT-04,LATAM,Country-5,water,HIGH,UTC,legacy,BusinessUnit-5
PLT-05,MEA,Country-6,power,HIGH,UTC+1,mixed,BusinessUnit-6
PLT-06,NA,Country-7,metals,MEDIUM,UTC+5:30,modernizing,BusinessUnit-1
PLT-07,EU,Country-8,oil_gas,HIGH,UTC-5,mixed,BusinessUnit-2
PLT-08,APAC,Country-9,automotive,MEDIUM,UTC+1,modernizing,BusinessUnit-3
PLT-09,LATAM,Country-10,chemicals,HIGH,UTC,legacy,BusinessUnit-4
PLT-10,MEA,Country-1,pharma,HIGH,UTC-5,legacy,BusinessUnit-5
PLT-11,NA,Country-2,food,HIGH,UTC+8,mixed,BusinessUnit-6
PLT-12,EU,Country-3,water,MEDIUM,UTC+8,modernizing,BusinessUnit-1
PLT-13,APAC,Country-4,power,HIGH,UTC-5,modernizing,BusinessUnit-2
PLT-14,LATAM,Country-5,metals,MEDIUM,UTC+5:30,mixed,BusinessUnit-3
PLT-15,MEA,Country-6,oil_gas,HIGH,UTC,mixed,BusinessUnit-4
PLT-16,NA,Country-7,automotive,HIGH,UTC-5,legacy,BusinessUnit-5
PLT-17,EU,Country-8,chemicals,HIGH,UTC-5,legacy,BusinessUnit-6
PLT-18,APAC,Country-9,pharma,MEDIUM,UTC+5:30,legacy,BusinessUnit-1
