tag_id,unit_id,asset_id,engineering_unit,low_limit,high_limit,historian_enabled
PLT-01-U01_TEMP,PLT-01-U01,OT-00058,C,20,220,YES
PLT-01-U01_PRESSURE,PLT-01-U01,OT-00058,bar,1,30,YES
PLT-01-U01_FLOW,PLT-01-U01,OT-00058,m3_h,10,500,YES
PLT-01-U01_VIBRATION,PLT-01-U01,OT-00058,mm_s,0.1,12,YES
PLT-01-U02_TEMP,PLT-01-U02,OT-00062,C,20,220,YES
PLT-01-U02_PRESSURE,PLT-01-U02,OT-00062,bar,1,30,YES
PLT-01-U02_FLOW,PLT-01-U02,OT-00062,m3_h,10,500,NO
PLT-01-U02_VIBRATION,PLT-01-U02,OT-00062,mm_s,0.1,12,YES
PLT-01-U03_TEMP,PLT-01-U03,OT-00063,C,20,220,YES
PLT-01-U03_PRESSURE,PLT-01-U03,OT-00063,bar,1,30,YES
PLT-01-U03_FLOW,PLT-01-U03,OT-00063,m3_h,10,500,YES
PLT-01-U03_VIBRATION,PLT-01-U03,OT-00063,mm_s,0.1,12,YES
PLT-01-U04_TEMP,PLT-01-U04,OT-00084,C,20,220,YES
PLT-01-U04_PRESSURE,PLT-01-U04,OT-00084,bar,1,30,YES
PLT-01-U04_FLOW,PLT-01-U04,OT-00084,m3_h,10,500,YES
PLT-01-U04_VIBRATION,PLT-01-U04,OT-00084,mm_s,0.1,12,YES
PLT-01-U05_TEMP,PLT-01-U05,OT-00012,C,20,220,YES
PLT-01-U05_PRESSURE,PLT-01-U05,OT-00012,bar,1,30,YES
PLT-01-U05_FLOW,PLT-01-U05,OT-00012,m3_h,10,500,YES
PLT-01-U05_VIBRATION,PLT-01-U05,OT-00012,mm_s,0.1,12,YES
PLT-01-U06_TEMP,PLT-01-U06,OT-00039,C,20,220,NO
PLT-01-U06_PRESSURE,PLT-01-U06,OT-00039,bar,1,30,YES
PLT-01-U06_FLOW,PLT-01-U06,OT-00039,m3_h,10,500,YES
PLT-01-U06_VIBRATION,PLT-01-U06,OT-00039,mm_s,0.1,12,YES
PLT-01-U07_TEMP,PLT-01-U07,OT-00034,C,20,220,YES
PLT-01-U07_PRESSURE,PLT-01-U07,OT-00034,bar,1,30,YES
PLT-01-U07_FLOW,PLT-01-U07,OT-00034,m3_h,10,500,YES
PLT-01-U07_VIBRATION,PLT-01-U07,OT-00034,mm_s,0.1,12,YES
PLT-01-U08_TEMP,PLT-01-U08,OT-00053,C,20,220,YES
PLT-01-U08_PRESSURE,PLT-01-U08,OT-00053,bar,1,30,YES
PLT-01-U08_FLOW,PLT-01-U08,OT-00053,m3_h,10,500,YES
PLT-01-U08_VIBRATION,PLT-01-U08,OT-00053,mm_s,0.1,12,YES
PLT-01-U09_TEMP,PLT-01-U09,OT-00077,C,20,220,YES
